"","X","YEAR","SERIAL","MONTH","CPSID","CPSIDP","MISH","NUMPREC","STATEFIP","HardHit","METRO","METAREA","COUNTY","PERNUM","AGE","X20.35","X36.50","X51.","SEX","RACE","HISPAN","MARST","CITIZEN","CLASSWKR","UHRSWORKT","UHRSWORK1","UHRSWORK2","AHRSWORKT","AHRSWORK1","AHRSWORK2","MULTJOB","EDUC","Gig1","Gig2","Gig3","diff1"
"5697",5696,2019,13166,0,20191201316600,20191201316601,1,3,11,0,2,8840,11001,1,37,0,1,0,1,100,411,1,4,13,50,30,20,50,30,20,2,111,1,1,1,0
"5714",5713,2019,13214,0,20181201341000,20181201341001,5,2,11,0,2,8840,11001,2,63,0,0,1,1,200,0,6,1,13,0,0,0,4,0,4,2,81,1,1,1,0
"10594",10593,2019,25133,0,20181202547600,20181202547601,5,4,21,0,2,4280,21067,1,19,0,0,0,1,100,0,6,1,13,18,3,15,18,3,15,2,73,1,1,1,0
"13653",13652,2019,32705,0,20181203318000,20181203318001,5,1,27,0,3,5121,0,1,74,0,0,1,1,100,0,5,1,13,20,20,0,12,10,2,2,111,1,1,1,-10
"16519",16518,2019,39598,0,20191203959800,20191203959801,1,4,33,0,1,9998,33013,1,52,0,0,1,1,100,0,1,1,13,21,20,1,10,10,0,2,124,1,1,1,-10
"17628",17627,2019,42616,0,20191204261600,20191204261601,1,4,36,1,2,5606,36061,1,37,0,1,0,1,100,0,6,1,13,35,30,5,35,30,5,2,111,1,1,1,0
"21045",21044,2019,51362,0,20181205199900,20181205199901,5,4,41,0,3,6442,0,1,40,0,1,0,2,100,0,1,1,13,9,9,0,11,7,4,2,111,1,1,1,-2
"24101",24100,2019,58777,0,20191205877700,20191205877701,1,3,48,0,2,2310,0,1,46,0,1,0,2,100,100,1,5,13,40,20,20,40,20,20,2,73,1,1,1,0
"25520",25519,2019,62111,0,20191206211100,20191206211102,1,4,49,0,3,6520,0,2,28,1,0,0,2,100,0,1,1,13,34,24,10,24,24,0,2,111,1,1,1,0
"26947",26946,2019,65363,0,20181206609800,20181206609801,5,7,53,0,2,7601,53033,1,69,0,0,1,1,100,0,1,1,13,43,25,18,43,25,18,2,81,1,1,1,0
"27181",27180,2019,65829,0,20191206582900,20191206582902,1,2,53,0,3,7601,0,2,44,0,1,0,2,100,0,1,1,13,20,15,5,20,15,5,2,111,1,1,1,0
"27480",27479,2019,66364,0,20191206636400,20191206636402,1,2,53,0,4,9999,0,2,47,0,1,0,2,100,0,1,1,13,30,20,10,30,20,10,2,73,1,1,1,0
"28006",28005,2019,67831,0,20191206783100,20191206783101,1,3,54,0,4,1480,54039,1,24,1,0,0,2,100,0,1,1,13,40,25,15,37,25,12,2,73,1,1,1,0
"28450",28449,2019,68868,0,20191206886800,20191206886804,1,4,55,0,1,9998,0,4,36,0,1,0,2,100,100,4,1,13,28,20,8,28,20,8,2,91,1,1,1,0
"30209",30208,2020,1516,1,20191200148700,20191200148701,2,2,2,0,2,9999,0,1,64,0,0,1,1,100,0,1,1,13,21,15,6,23,15,8,2,123,1,1,1,0
"34555",34554,2020,6501,1,20200100650100,20200100650101,1,4,6,1,2,6780,0,1,36,0,1,0,2,100,100,1,1,13,35,30,5,30,10,20,2,81,1,1,1,-20
"35253",35252,2020,7169,1,20191200711200,20191200711203,2,7,6,1,3,7365,6081,3,40,0,1,0,2,100,0,6,1,13,28,8,20,28,8,20,2,111,1,1,1,0
"35466",35465,2020,7406,1,20200100740600,20200100740601,1,3,6,1,3,7481,6087,1,56,0,0,1,1,100,0,1,1,13,20,10,10,10,10,0,2,111,1,1,1,0
"39935",39934,2020,13034,1,20200101303400,20200101303402,1,2,11,0,2,8840,11001,2,40,0,1,0,1,100,0,1,1,13,50,30,20,50,30,20,2,125,1,1,1,0
"40969",40968,2020,14787,1,20190201493700,20190201493702,6,4,12,1,3,8280,12057,2,43,0,1,0,2,200,0,1,1,13,27,20,7,47,40,7,2,91,1,1,1,20
"41499",41498,2020,15421,1,20200101542100,20200101542101,1,2,12,1,3,2711,12111,1,56,0,0,1,1,100,0,6,1,13,29,24,5,24,24,0,2,60,1,1,1,0
"48447",48446,2020,23916,1,20181202416900,20181202416901,6,10,19,0,1,9998,0,1,49,0,1,0,1,100,0,1,1,13,30,20,10,30,20,10,2,30,1,1,1,0
"49479",49478,2020,25184,1,20200102518400,20200102518401,1,2,21,0,2,4520,21111,1,41,0,1,0,2,200,0,1,1,13,40,30,10,40,30,10,2,123,1,1,1,0
"53690",53689,2020,30614,1,20200103061400,20200103061402,1,3,25,1,3,1125,25017,2,54,0,0,1,2,100,0,1,1,13,30,15,15,30,15,15,2,111,1,1,1,0
"54646",54645,2020,31813,1,20190103216700,20190103216703,5,2,26,1,1,9998,0,2,35,1,0,0,1,100,0,6,1,13,30,20,10,25,15,10,2,81,1,1,1,-5
"58331",58330,2020,36634,1,20190103698400,20190103698401,5,2,30,0,4,880,30111,1,59,0,0,1,2,100,0,1,1,13,3,2,1,3,1,2,2,111,1,1,1,-1
"60836",60835,2020,39699,1,20191203959800,20191203959801,2,4,33,0,1,9998,33013,1,52,0,0,1,1,100,0,1,1,13,23,20,3,22,20,2,2,124,1,1,1,0
"61044",61043,2020,39966,1,20191203987900,20191203987901,2,3,34,1,3,5606,34013,1,52,0,0,1,2,100,412,5,5,13,33,30,3,33,30,3,2,73,1,1,1,0
"62996",62995,2020,42714,1,20191204261600,20191204261601,2,4,36,1,2,5606,36061,1,37,0,1,0,1,100,0,6,1,13,32,20,12,32,20,12,2,111,1,1,1,0
"63065",63064,2020,42794,1,20200104279400,20200104279401,5,2,36,1,2,1280,0,1,36,0,1,0,1,100,0,1,1,13,25,15,10,40,25,15,2,111,1,1,1,10
"63601",63600,2020,43588,1,20190104403800,20190104403801,5,4,36,1,2,5606,36047,1,38,0,1,0,1,100,0,1,1,13,45,20,25,45,20,25,2,111,1,1,1,0
"66412",66411,2020,47454,1,20200104745400,20200104745402,1,3,38,0,1,9998,0,2,46,0,1,0,2,100,0,1,1,13,60,30,30,52,22,30,2,81,1,1,1,-8
