"","X","YEAR","SERIAL","MONTH","CPSID","CPSIDP","MISH","NUMPREC","STATEFIP","HardHit","METRO","METAREA","COUNTY","PERNUM","AGE","X20.35","X36.50","X51.","SEX","RACE","HISPAN","MARST","CITIZEN","CLASSWKR","UHRSWORKT","UHRSWORK1","UHRSWORK2","AHRSWORKT","AHRSWORK1","AHRSWORK2","MULTJOB","EDUC","Gig1","Gig2","Gig3","diff1"
"3",2,2019,3,0,20191200000300,20191200000301,1,3,1,0,2,3440,0,1,41,0,1,0,1,200,0,1,1,22,45,40,5,43,40,3,2,73,0,0,1,0
"39",38,2019,98,0,20181200008500,20181200008503,5,3,1,0,2,1001,0,3,29,1,0,0,1,100,0,6,1,22,50,40,10,50,40,10,2,73,0,0,1,0
"131",130,2019,318,0,20181200029200,20181200029201,5,4,1,0,3,1001,0,1,35,1,0,0,1,100,0,1,1,25,55,40,15,55,40,15,2,81,0,0,1,0
"148",147,2019,366,0,20191200036600,20191200036601,1,2,1,0,3,3440,0,1,49,0,1,0,2,100,0,1,1,22,55,50,5,55,50,5,2,111,0,0,1,0
"238",237,2019,571,0,20181200055700,20181200055701,5,3,1,0,3,5240,0,1,29,1,0,0,1,100,0,1,1,22,60,48,12,60,48,12,2,92,0,0,1,0
"312",311,2019,752,0,20191200075200,20191200075201,1,4,1,0,1,9998,0,1,54,0,0,1,1,100,0,1,1,22,45,40,5,37,32,5,2,111,0,0,1,-8
"360",359,2019,908,0,20191200090800,20191200090801,1,2,1,0,1,9998,0,1,69,0,0,1,1,200,0,1,1,27,22,15,7,47,32,15,2,123,0,1,1,17
"382",381,2019,986,0,20191200098600,20191200098601,1,1,1,0,1,9998,0,1,52,0,0,1,2,200,0,4,1,25,68,40,28,52,24,28,2,81,0,0,1,-16
"479",478,2019,1217,0,20181200123500,20181200123502,5,3,1,0,4,2651,0,2,47,0,1,0,1,100,0,1,1,13,50,40,10,50,40,10,2,111,1,0,1,0
"590",589,2019,1483,0,20181200150100,20181200150102,5,3,2,0,2,9999,0,2,27,1,0,0,2,651,0,6,1,22,45,40,5,45,40,5,2,73,0,0,1,0
"668",667,2019,1670,0,20181200168600,20181200168601,5,2,2,0,2,9999,0,1,30,1,0,0,1,100,0,6,1,23,26,16,10,17,1,16,2,111,0,1,1,-15
"697",696,2019,1728,0,20191200172800,20191200172801,1,2,2,0,2,9999,0,1,24,1,0,0,2,200,0,6,1,22,80,40,40,80,40,40,2,92,0,0,1,0
"747",746,2019,1844,0,20191200184400,20191200184402,1,4,2,0,3,9999,0,2,34,1,0,0,2,100,0,1,1,28,35,25,10,31,16,15,2,111,0,1,1,-9
"752",751,2019,1853,0,20191200185300,20191200185302,5,2,2,0,3,9999,0,2,22,1,0,0,2,100,0,4,1,22,44,34,10,42,34,8,2,81,0,1,1,0
"755",754,2019,1868,0,20191200186800,20191200186803,1,4,2,0,3,9999,0,3,20,1,0,0,2,100,0,6,1,22,56,40,16,56,40,16,2,73,0,0,1,0
"756",755,2019,1868,0,20191200186800,20191200186804,1,4,2,0,3,9999,0,4,20,1,0,0,2,100,0,6,1,22,45,32,13,45,32,13,2,73,0,1,1,0
"819",818,2019,2020,0,20191200202000,20191200202001,1,4,2,0,3,9999,0,1,59,0,0,1,2,100,0,1,1,23,46,40,6,45,40,5,2,81,0,0,1,0
"933",932,2019,2281,0,20191200228100,20191200228101,1,3,2,0,1,9998,0,1,36,0,1,0,1,300,0,1,1,28,21,20,1,21,20,1,2,73,0,1,1,0
"958",957,2019,2359,0,20181200239500,20181200239502,5,5,4,0,2,6201,4013,2,44,0,1,0,1,100,100,1,1,22,60,40,20,60,40,20,2,73,0,0,1,0
"970",969,2019,2383,0,20191200238300,20191200238303,1,4,4,0,2,6201,4013,3,54,0,0,1,1,100,0,1,1,28,50,40,10,56,46,10,2,81,0,0,1,6
